BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,315000,2,2,1400,2 E 55th St Unit 803,"New York, NY 10022"
Brokered by Serhant,Condo for sale,195000000,7,10,17545,Central Park Tower Penthouse-217 W 57th New York St Unit Penthouse,"New York, NY 10019"
Brokered by Sowae Corp,House for sale,260000,4,2,2015,620 Sinclair Ave,"Staten Island, NY 10312"
Brokered by COMPASS,Condo for sale,69000,3,1,445,2 E 55th St Unit 908W33,"Manhattan, NY 10022"
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,55000000,7,2.373860858,14175,5 E 64th St,"New York, NY 10065"
Brokered by Sowae Corp,House for sale,690000,5,2,4004,584 Park Pl,"Brooklyn, NY 11238"
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,899500,2,2,2184.207862,157 W 126th St Unit 1B,"New York, NY 10027"
Brokered by Connie Profaci Realty,House for sale,16800000,8,16,33000,177 Benedict Rd,"Staten Island, NY 10304"
Brokered by Pantiga Group Inc.,Co-op for sale,265000,1,1,750,875 Morrison Ave Apt 3M,"Bronx, NY 10473"
Brokered by CENTURY 21 MK Realty,Co-op for sale,440000,2,1,978,1350 Ocean Pkwy Apt 5G,"Brooklyn, NY 11230"
Brokered by Engel & Volkers Americas,Co-op for sale,375000,2,1,850,800 Grand Concourse Apt 2JS,"Bronx, NY 10451"
Brokered by Re/Max Edge,Townhouse for sale,689000,3,2.373860858,1162,456 Van Name Ave,"Staten Island, NY 10303"
Brokered by COMPASS,Co-op for sale,259000,3,1,2184.207862,34-41 85th St Unit 1D,"Jackson Heights, NY 11372"
Brokered by Jamie & Connie Real Estate Grp,Co-op for sale,430000,2,2,2184.207862,91-15 Lamont Ave Unit 6D,"Elmhurst, NY 11373"
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,895000,3,1,2184.207862,61 Jane St Apt 6N,"New York, NY 10014"
Brokered by Awaye Realty,Condo for sale,549000,2,2,1000,4654 Amboy Rd Unit 2B,"Staten Island, NY 10312"
Brokered by Realty Executives Today,Townhouse for sale,975000,3,2,1734,28-31 Hobart St,"Woodside, NY 11377"
Brokered by Dorsa Group Realty,Co-op for sale,199000,3,1,325,9430 Ridge Blvd Apt 6D,"Brooklyn, NY 11209"
Brokered by Coldwell Banker Realty,Co-op for sale,350000,1,1,700,5800 Arlington Ave Apt 21A,"Bronx, NY 10471"
Brokered by Keller Williams Rlty Landmark,Condo for sale,599000,2,2,974,92-29 Queens Blvd Unit 3H,"Rego Park, NY 11374"
Brokered by Radiant Estates LLC,House for sale,639999,3,2,1260,27 Clove Way,"Staten Island, NY 10301"
"Brokered by Apaus, Inc",Condo for sale,1300000,2,2,1244,10724 71st Rd Apt 9F,"Forest Hills, NY 11375"
Brokered by Keller Williams Ny Realty,Multi-family home for sale,1100000,6,3,2837,1038 Throggs Neck Expy Unit Sr,"Bronx, NY 10465"
